original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
2538283-4,1073710,M/S Wellamo,Kauppatori/ Kolera-allas,170,HELSINKI,Helsinki,FRS Finland Oy,28.03.2022,,60.16711625,24.952947536349136,"Kolera-allas, 170 Helsinki, Suomi",Kolera-allas,,Kolera-allas,170,Kaartinkaupunki,Uusimaa,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.6666666666666667,1,0.6666666666666667,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2262740-2,1054886,Pizza-Kebab Heval,Arkkitehdinkatu 9-11,33720,TAMPERE,Tampere,Heval Oy,01.03.2018,,61.4415508,23.8517768,"Kebab-Pizza Heval, Arkkitehdinkatu 9-11, 33720 Tampere, Suomi",Kebab-Pizza Heval,9-11,Arkkitehdinkatu,33720,Hervanta,,Kaakkoinen suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0107100-3,30882921,Dagmar Bistro & Wine bar,Dagmarinkatu 4,100,HELSINKI,Helsinki,Oy Botta Ab,15.10.2023,,60.1737146,24.9306198,"Dagmarinkatu 4, 00100 Helsinki, Suomi",,4,Dagmarinkatu,00100,Etu-Töölö,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0910257-2,30027878,Amarillo ja Bar Kohde Lahti,Aleksanterinkatu 10,15110,LAHTI,Lahti,Osuuskauppa Hämeenmaa,14.04.2020,,60.9832444,25.658515,"AFRY, Aleksanterinkatu 10, 15110 Lahti, Suomi",AFRY,10,Aleksanterinkatu,15110,Keski-Lahti,,,Lahti,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2115692-8,1026095,Pubi T.T,Ullavantie 3,69300,TOHOLAMPI,Toholampi,PUBI T.T,20.08.2009,,63.7730811,24.2490751,"Keskus Kahvio, Ullavantie 3, 69300 Toholampi, Suomi",Keskus Kahvio,3,Ullavantie,69300,,,,Toholampi,Keski-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0108432-2,30065759,Ravintola Kolme Kruunua,Liisankatu 5,170,HELSINKI,Helsinki,GF Finance Oy,02.04.2020,,60.1743731,24.9590926,"Liisankatu 5, 00170 Helsinki, Suomi",,5,Liisankatu,00170,Kruununhaka,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1033527-7,30061496,Ravintola Bar Purje,Laitakarintie 322,29100,LUVIA,Eurajoki,Café Logo Oy,13.06.2018,,61.343876,21.560795,"Laitakarintie 322, 29100 Luvia, Suomi",,322,Laitakarintie,29100,,Satakunnan maakunta,,Luvia,Lounais-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2923134-7,1062337,Oma SP Areena,Ottelukatu 1,55420,IMATRA,Imatra,Imatran Ketterä Oy,15.08.2018,,61.200453350000004,28.737735043245497,"Imatran jäähalli, Ottelukatu 1, 55420 Imatra, Suomi",Imatran jäähalli,1,Ottelukatu,55420,Ukonniemi,,Mansikkala,Imatra,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1562419-0,1037235,Mani-Baari,Nuoramoistentie 2,17240,KALKKINEN,Asikkala,MANI-BAARI,01.03.2018,,61.2978679,25.6817237,"Mani-Baari, Nuoramoistentie 2, 17240 Asikkala, Suomi",Mani-Baari,2,Nuoramoistentie,17240,,,,Asikkala,Päijät-Häme,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3189487-9,30070839,Ravintola Puumalan Poiju,Satamatie 5,52200,PUUMALA,Puumala,Puumalan Poiju Oy,28.05.2021,,61.5223424,28.175538681455066,"Satamatie 5, 52200 Puumala, Suomi",,5,Satamatie,52200,,,,Puumala,Etelä-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2534003-6,1055269,Ravintola Fatboy,Ahjokatu 20,40320,JYVÄSKYLÄ,Jyväskylä,Ravintola Fatboy,01.03.2018,,62.26061715,25.780270003921316,"Ahjokatu 20, 40320 Jyväskylä, Suomi",,20,Ahjokatu,40320,Kangasvuori,,Huhtasuo,Jyväskylä,Keski-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1501760-6,30884764,"Cafe Caramel ",Patruunantie 15,62800,VIMPELI,Vimpeli,Rakennuspalvelu Hannu Särkinen Oy,01.07.2024,,63.1612755,23.8230962,"Vimpelin kunnanvirasto, Patruunantie 15, 62800 Vimpeli, Suomi",Vimpelin kunnanvirasto,15,Patruunantie,62800,,,,Vimpeli,Etelä-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1952494-7,1058439,Teatro Vaasa,Kauppapuistikko 15,65100,VAASA,Vaasa,NoHo Partners Oyj,17.10.2017,,63.09522,21.6150022,"Sokos Hotel Vaakuna, Kauppapuistikko 15, 65100 Vaasa, Suomi",Sokos Hotel Vaakuna,15,Kauppapuistikko,65100,Keskusta 3,,Vaasa,Vaasa,Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2745927-6,1052943,Ravintola Nanking,Kalevankatu 28,100,HELSINKI,Helsinki,Jin Fu Oy,01.04.2016,,60.1655857,24.9338161,"Kalevankatu 28, 00100 Helsinki, Suomi",,28,Kalevankatu,00100,Kamppi,Uusimaa,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1998713-2,30021469,Cosmic Comic Cafe,Kauppiaskatu 4,20100,TURKU,Turku,Kosmikki Oy,01.06.2020,,60.4507596,22.2691697,"Linna Burgers & Coffee, Kauppiaskatu 4, 20100 Turku, Suomi",Linna Burgers & Coffee,4,Kauppiaskatu,20100,Keskusta,,Aninkaistenmäki,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2396811-0,1037457,Bar Explosive,Puistokatu 1,40100,JYVÄSKYLÄ,Jyväskylä,Stonebarrel Oy,07.04.2011,,62.2448659,25.7500133,"Explosive Bar, Puistokatu 1, 40100 Jyväskylä, Suomi",Explosive Bar,1,Puistokatu,40100,Puistola,,Kantakaupunki,Jyväskylä,Keski-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1845186-2,1027010,Puijon Pub,Sammakkolammentie 6,70200,KUOPIO,Kuopio,LounasKeisarit Ky,01.10.2007,,62.9022227,27.648688,"S-market, Sammakkolammentie 6, 70200 Kuopio, Suomi",S-market,6,Sammakkolammentie,70200,Puijonlaakso,,,Kuopio,Pohjois-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3261891-3,1075727,St1 Mäntsälä,Pohjoinen Pikatie 1,4600,MÄNTSÄLÄ,Mäntsälä,PK-Seudun liikenneasemat Oy,19.12.2022,,60.5948803,22.9142833,"Mäntsälä (Marttila), Varsinais-Suomi, Suomi",,,,,,,,Marttila,Varsinais-Suomi,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0536307-0,30887601,Tiikerihai,Hämeenkatu 5,33100,TAMPERE,Tampere,Pirkanmaan Osuuskauppa,01.06.2025,,61.4982079,23.7698084,"TammerDent, Hämeenkatu 5, 33100 Tampere, Suomi",TammerDent,5,Hämeenkatu,33100,Kyttälä,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2854003-3,1069519,Ravintola Wok King,Hämeenkatu 9,5800,HYVINKÄÄ,Hyvinkää,Guanyue Oy,23.09.2020,,60.631658349999995,24.86413821110855,"Minetti Hyvinkää, Hämeenkatu 9, 05800 Hyvinkää, Suomi",Minetti Hyvinkää,9,Hämeenkatu,05800,Tehdas,,,Hyvinkää,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3017854-7,1068627,Vinsanvilla,Pöytäniementie 185,34600,RUOVESI,Ruovesi,Vinsanvilla Oy,19.06.2020,,61.957102,24.141034,"Pöytäniementie 185, 34600 Ruovesi, Suomi",Pöytäniementie,185,Pöytäniementie,34600,,Pirkanmaa,,Ruovesi,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,,,
0898400-8,1074938,Perhon Seurojentaloyhdistys ry,Vanhainkodintie 2,69950,PERHO,Perho,Perhon Seurojentaloyhdistys ry,28.07.2022,,63.2114854,24.424570679142384,"Seurojentalo, Vanhainkodintie 2, 69950 Perho, Suomi",Seurojentalo,2,Vanhainkodintie,69950,,,Pappilanniemi,Perho,Keski-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2406013-9,30883758,Rohki Restaurant & Catering,Tunturintie 16 A4,95970,ÄKÄSLOMPOLO,Kolari,Skafferiet Catering Oy,07.02.2024,,67.6059433,24.1435483,"Tunturintie, 95970 Kolari, Suomi",Tunturintie,,Tunturintie,95970,,,,Kolari,Lappi,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1952494-7,1052543,American Diner Jumbo,Vantaanportinkatu 3,1510,VANTAA,Vantaa,NoHo Partners Oyj,07.02.2016,,60.291594149999995,24.965677651764707,"Jumbo, Vantaanportinkatu 3, 01510 Vantaa, Suomi",Jumbo,3,Vantaanportinkatu,01510,Pakkala,,Aviapoliksen suuralue,Vantaa,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1921193-2,1061913,Hotelli Sandels,Toritie 1,71800,SIILINJÄRVI,Siilinjärvi,Hotelli Sandels Oy,05.11.2004,,63.07634195,27.660667602928378,"Toritie 1, 71800 Siilinjärvi, Suomi",,1,Toritie,71800,Räisälä,,Asemanseutu,Siilinjärvi,Pohjois-Savo,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0820497-2,1045160,Olutravintola Birger,Raatihuoneenkatu 5,13100,HÄMEENLINNA,Hämeenlinna,Mikest 99 Oy,01.04.1999,,60.9969346,24.4695853,"Olutravintola Birger, Raatihuoneenkatu 5, 13100 Hämeenlinna, Suomi",Olutravintola Birger,5,Raatihuoneenkatu,13100,Keskusta,,Hämeenlinna,Hämeenlinna,Kanta-Häme,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2370168-6,30889074,Hemingway's Ylöjärvi,Mikkolantie 1-3,33470,YLÖJÄRVI,Ylöjärvi,Tulikuuma Kumpu Oy,02.12.2025,,61.5489104,23.5968498,"Hiusstudio Tia, Mikkolantie 1-3, 33470 Ylöjärvi, Suomi",Hiusstudio Tia,1-3,Mikkolantie,33470,Pappilanniemi,,,Ylöjärvi,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0349512-5,1080330,Herrankukkaro,Luotojentie 245,21140,RYMÄTTYLÄ,Naantali,Herrankukkaro Oy,10.05.2001,,60.3363827,21.98308466423267,"Herrankukkaro, Luotojentie 245, 21140 Naantali, Suomi",Herrankukkaro,245,Luotojentie,21140,,,,Naantali,Varsinais-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2922955-4,1063336,Ravintola Tammisto,Sähkötie 8,1510,VANTAA,Vantaa,Tammisto Catering Oy,05.12.2018,,60.2778003,24.9741914,"Ravintola Tammisto, Sähkötie 8, 01510 Vantaa, Suomi",Ravintola Tammisto,8,Sähkötie,01510,Tammisto,,Aviapoliksen suuralue,Vantaa,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2592668-6,1062662,Messi Pub,Ristiaallokonkatu 4 G,2320,ESPOO,Espoo,AAF Pacific Oy c/o Ahmed Parvez,01.10.2018,,60.1538333,24.6427821,"Messi Pub, Ristiaallokonkatu 4, 02320 Espoo, Suomi",Messi Pub,4,Ristiaallokonkatu,02320,Espoonlahti,,Suur-Espoonlahti,Espoo,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2972264-8,30882874,Luckiefun's Sushibuffet Hertsi,Insinöörinkatu 2,880,HELSINKI,Helsinki,MMG Li Oy,25.08.2023,,60.1943406,25.0343356,"Insinöörinkatu 2, 00810 Helsinki, Suomi",,2,Insinöörinkatu,00810,Herttoniemi,,Kaakkoinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3470188-4,30889134,Espan Kulma,Eteläesplanadi 22,130,HELSINKI,Helsinki,Lokaatio Ravintolat Oy,21.11.2025,,60.166472,24.9448808,"Eteläesplanadi 22, 00130 Helsinki, Suomi",,22,Eteläesplanadi,00130,Kaartinkaupunki,Uusimaa,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3243247-3,1073110,NCF Ravintola,Tammelan puistokatu 36,33100,TAMPERE,Tampere,Lamrav Oy,03.01.2022,,61.4993234,23.7793522,"New Chinese Food, Tammelan puistokatu 36, 33100 Tampere, Suomi",New Chinese Food,36,Tammelan puistokatu,33100,Tammela,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2692648-5,30882679,Edvin Pizza Napoletana,Hans Westerlundin tie 2,2780,ESPOO,Espoo,Nikko Food Oy,25.08.2023,,60.182443,24.6001561,"Edvin Pizza Napoletana, Hans Westerlundin tie 2, 02780 Espoo, Suomi",Edvin Pizza Napoletana,2,Hans Westerlundin tie,02780,Kurttila,,Suur-Kauklahti,Espoo,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2751986-5,1070231,Jänhiälän Lava,Veromalammentie 12,54100,JOUTSENO,Lappeenranta,Papinniemi Jari Petteri Tmi Jänhiälän Lava,02.08.2021,,61.118416,28.5015488,"54100 Joutseno (Lappeenranta), Suomi",,,,54100,,,,Lappeenranta,Etelä-Karjala,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3306519-3,1075510,Roji Ravintola,Kolmas linja 16 C44 ja C45,530,HELSINKI,Helsinki,V Bistro Oy,24.09.2022,,60.1828462,24.9477319,"Kolmas linja 16, 00530 Helsinki, Suomi",,16,Kolmas linja,00530,Kallio,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3105520-7,1067505,Pizza House Cafe,Kivikonkaari 39,940,HELSINKI,Helsinki,Soran House Restaurant,15.02.2021,,60.23387285,25.062033217087773,"Kivikonkaari 39, 00920 Helsinki, Suomi",,39,Kivikonkaari,00920,Mellunkylä,,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3354911-2,30882201,Cafe Abraham's,Rantatie 14,91900,LIMINKA,Liminka,Cafe Abraham's Oy,27.06.2023,,64.80299545,25.403509440742887,"Limingan museoalue, Rantatie 14, 91900 Liminka, Suomi",Limingan museoalue,14,Rantatie,91900,Vanha-Liminka,,,Liminka,Pohjois-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0953136-9,1044725,Hotelli-Ravintola Martinhovi,Martinkatu 6,21200,RAISIO,Raisio,"Mandera Oy ",19.04.1987,,60.4844214,22.1682109,"Martinhovi, Martinkatu 6, 21200 Raisio, Suomi",Martinhovi,6,Martinkatu,21200,Vaisaari,,Tasala,Raisio,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0873697-9,1070289,0417 Ravintola Carelia,Yliopistokatu 4,80100,JOENSUU,Joensuu,Compass Group Finland Oy,02.02.2004,,62.6048033,29.744439726507842,"Agora, Yliopistokatu 4, 80100 Joensuu, Suomi",Agora,4,Yliopistokatu,80100,Mehtimäki,,Joensuun kantakaupunki,Joensuu,Pohjois-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0107101-1,1020203,Tali Café,Huopalahdentie 28,350,HELSINKI,Helsinki,Oy Bowling Ab,24.08.2005,,60.2103619,24.8790544,"Tali Café, Huopalahdentie 28, 00380 Helsinki, Suomi",Tali Café,28,Huopalahdentie,00380,Munkkiniemi,Uusimaa,Läntinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0873697-9,1070023,1269 Ravintola Kirjo & Café Park,Metsänneidonkuja 8,2130,ESPOO,Espoo,Compass Group Finland Oy,01.01.2021,,60.188304,24.806561,"Metsänneidonkuja 8, 02130 Espoo, Suomi",,8,Metsänneidonkuja,02130,Pohjois-Tapiola,Uusimaa,Espoo,Espoo,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
3377274-4,30883596," Ravintola Myyrin Krouvi",Uomatie 11,1600,VANTAA,Vantaa,Sky Connection Oy,15.01.2024,,60.2700013,24.8487594,"Vaappuva Ankka, Uomatie 11, 01600 Vantaa, Suomi",Vaappuva Ankka,11,Uomatie,01600,Myyrmäki,,Myyrmäen suuralue,Vantaa,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1073115-7,1063905,Hotelli Toivola,Ouluntie 36,94700,KEMI,Kemi,Syväkankaan Kioski Oy,11.02.2019,,65.7300335,24.6006044,"Ouluntie 36, 94700 Kemi, Suomi",Ouluntie,36,Ouluntie,94700,Syväkangas,,,Kemi,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0936981-6,1057975,Proffan Kellari,Rehtorinpellonkatu 6,20500,TURKU,Turku,Proffan Kellari Oy,30.08.1996,,60.45489621422799,22.288294240942484,"Rehtorinpellonkatu 6, 20014 Turku, Suomi",Rehtorinpellonkatu,6,Rehtorinpellonkatu,20014,Keskusta,,Ylioppilastalot,Turku,Varsinais-Suomi,Suomi,fi,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3258820-8,30883974,Hotelli Grand Hansa,Mannerheimintie 5,100,HELSINKI,Helsinki,NH Hotels Finland Oy,15.04.2024,,60.1695749,24.939536,"Yliopiston Apteekki, Mannerheimintie 5, 00100 Helsinki, Suomi",Yliopiston Apteekki,5,Mannerheimintie,00100,Keskusta,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1753997-7,1035686,Ravintola Perla,Lyötynkatu 7,90100,OULU,Oulu,Laguna Street Restaurants Oy,01.08.2010,,65.006215,25.4741141,"Ravintola Perla, Lyötynkatu 7, 90100 Oulu, Suomi",Ravintola Perla,7,Lyötynkatu,90100,III Vanhatulli,,,Oulu,Pohjois-Pohjanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1598370-8,1010559,Saimaan Helmi,Ajurinkatu 6,53500,LAPPEENRANTA,Lappeenranta,Saimaan Helmi Oy,01.03.2018,,61.0440789,28.218697,"Saimaan Helmi, Ajurinkatu 6, 53500 Lappeenranta, Suomi",Saimaan Helmi,6,Ajurinkatu,53500,Myllymäki,,,Lappeenranta,Etelä-Karjala,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2300485-6,30884345,MBakery Cafe Villa Saaro,Saarontie 59,20100,TURKU,Turku,MBakery,01.05.2024,,60.4226483,22.093914350661557,"Saarontie 59, 20100 Turku, Suomi",,59,Saarontie,20100,Keskusta,,Ruissalo,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2028237-5,1022413,Brasserie,Köpmansgatan 3,10300,KARJAA,Raasepori,Oy Bouquet Garni Ab,14.04.2006,,60.070083,23.660259,"Köpmansgatan 3, 10300 Karjaa, Suomi",,3,Köpmansgatan,10300,,Uusimaa,Raasepori,Karjaa,Etelä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
2873304-6,1076536,B. Walrus,"Hietalahdenranta, laituri 1",180,HELSINKI,Helsinki,Kellaribaarit Oy,01.03.2023,,60.1666204,24.9435408,"Helsinki, Uusimaa, Suomi",,,,,,,,Helsinki,Uusimaa,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2955931-8,30888188,Kustavin Kipinä Pohjolanniementie 2 Kustavi,Pohjolanniementie 2,23360,KUSTAVI,Kustavi,Pro Pelago Oy,01.07.2025,,60.5510695,21.461830117012894,"Pohjolanniementie 2, 23360 Kustavi, Suomi",,2,Pohjolanniementie,23360,,,,Kustavi,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3580293-5,30889382,Ravintola Tamada,Pakkahuoneenkatu 8 lh51,90100,OULU,Oulu,Svani oy,15.01.2026,14.01.2027,65.0131669,25.4691118,"Viinibaari Vox, Pakkahuoneenkatu 8, 90100 Oulu, Suomi",Viinibaari Vox,8,Pakkahuoneenkatu,90100,I Pokkinen,,Ydinkeskusta,Oulu,Pohjois-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2994675-6,1064895,Flät no 14,Viides linja 14 A 1,530,HELSINKI,Helsinki,Flät Helsinki Oy,13.06.2019,,60.1836377,24.951961,"flät no 14, Viides linja 14, 00530 Helsinki, Suomi",flät no 14,14,Viides linja,00530,Kallio,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2140315-9,1031968,Chill & Grill,Porvoonkatu 23,510,HELSINKI,Helsinki,Demsal avoin yhtiö,25.06.2012,,60.191201,24.9448683,"Chill & Grill, Porvoonkatu 23, 00510 Helsinki, Suomi",Chill & Grill,23,Porvoonkatu,00510,Alppiharju,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3203195-2,1071190,Bootti,Kaarlenväylä 2,90100,OULU,Oulu,Bootti Oy,01.06.2021,,65.0150885,25.462087324947618,"Pikisaaren sillan jäätelökioski, Kaarlenväylä 2, 90100 Oulu, Suomi",Pikisaaren sillan jäätelökioski,2,Kaarlenväylä,90100,I Pokkinen,,Ydinkeskusta,Oulu,Pohjois-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0208916-8,1014360,Opetusravintola Kokkolinna,Isokatu 1,67100,KOKKOLA,Kokkola,Keski-Pohjanmaan Koulutusyhtymä,21.10.2002,,63.8353649,23.1310482,"Café Kokkolinna, Isokatu 1, 67100 Kokkola, Suomi",Café Kokkolinna,1,Isokatu,67100,Kosila,,,Kokkola,Keski-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0953838-4,1062611,Factory Otaniemi,Otakaari 5,2150,ESPOO,Espoo,Ravintotalot Oy,18.09.2018,,60.18925055,24.831378012394843,"Aalto-yliopisto A Grid, Otakaari 5, 02150 Espoo, Suomi",Aalto-yliopisto A Grid,5,Otakaari,02150,Otaniemi,,Suur-Tapiola,Espoo,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2590194-8,1046326,Hanhenpoika,Rautatienkatu 7,15100,LAHTI,Lahti,Hanhiravintolat Oy,14.02.2014,,60.9804879,25.6580514,"Mainostoimisto EXX, Rautatienkatu 7, 15100 Lahti, Suomi",Mainostoimisto EXX,7,Rautatienkatu,15100,Keski-Lahti,,,Lahti,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2925419-4,1062149,Tunturi Pub Iso-Syöte,Romekievarintie 1,93280,SYÖTE,Pudasjärvi,Iso-Syötteen Keidas Oy,26.07.2018,,65.6254177,27.6294157,"Tunturi Market, Romekievarintie 1, 93280 Pudasjärvi, Suomi",Tunturi Market,1,Romekievarintie,93280,,,,Pudasjärvi,Pohjois-Pohjanmaa,Suomi,fi,0.855,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
